species,pc1,pc2,f_mass,f_wing,f_tarsus,wing_tarsus
Bald Eagle,-0.413716662,-0.029411393,5350,599.6,101.9,5.884200196
Broad-winged Hawk,0.122417389,-0.047807477,440,285,56.3,5.062166963
Cooper's Hawk,-0.059019253,0.042227719,140,182.5,71.1,2.566807314
Golden Eagle,-0.373176884,0.464682022,5194,685,108,6.342592593
Great Horned Owl,-0.32694077,0.333761032,1706,370.5,117.5,3.153191489
Northern Harrier,0.053993179,0.013828294,527,376,79.5,4.729559748
Northern Goshawk,-0.04469357,0.001517511,1140,354,79,4.481012658
Red-tailed Hawk,-0.003228879,0.149016823,1224,388.8,86.9,4.47410817
White-tailed Hawk,-0.492702567,-0.07298161,1060,130.5,8.6,15.1744186
Short-eared Owl,0.367548933,-0.048692647,312,319,46.2,6.904761905
Swainson's Hawk,0.176715971,-0.021316905,1109,404.6,83.6,4.839712919
White-tailed Eagle,-0.474070846,-0.018019826,5572,668,95.5,6.994764398
Flammulated Owl,-0.533771335,-0.624953239,65.6,130.4,15,8.693333333
Great Gray Owl,0.543271026,-0.0619062,1186,452,55.1,8.203266788
Long-eared Owl,0.493762815,-0.02924312,278,299,39.9,7.493734336
Northern Hawk Owl,0.40850425,0.011567364,320,238,25.5,9.333333333
Western Screech-Owl,0.555107205,-0.062268347,235.5,183.1,27,6.781481481
